what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1335441587658
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1335441587658
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1335441587658
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1335441587674
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1335441587674
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1335441587674
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1335441587674
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1335441587674
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1335441587674
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1335441587674
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1335441587674
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1335441587674
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1335441587674
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1335441587674
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1335441587674
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1335441587690
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1335441587690
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1335441587690
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1335441587690
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1335441587690
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1335441587690
started,bundle,org.eclipse.mylyn.github.ui,1.3.0.201202151440-r,"org.eclipse.mylyn.github.ui",1335441587690
os,sysinfo,,,"win32",1335441587690
arch,sysinfo,,,"x86",1335441587690
ws,sysinfo,,,"win32",1335441587690
locale,sysinfo,,,"en_US",1335441587690
processors,sysinfo,,,"2",1335441587690
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335441587690
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1335441587690
java.specification.name,sysinfo,,,"Java Platform API Specification",1335441587690
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335441587690
java.specification.version,sysinfo,,,"1.6",1335441587690
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1335441587690
java.version,sysinfo,,,"1.6.0_20",1335441587690
java.vm.info,sysinfo,,,"mixed mode, sharing",1335441587690
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1335441587690
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335441587690
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335441587690
java.vm.specification.version,sysinfo,,,"1.0",1335441587690
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1335441587690
java.vm.version,sysinfo,,,"16.3-b01",1335441587690
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1335441587690
activated,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.TestSuiteBrowser",1335441587752
opened,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.ComponentNameBrowser",1335441588002
